xr_person_id,zh_state,zh_district,xh_urban_rural,zh_urban_rural2,zh_member_number,xr_age_final,xr_gender_final,xr_has_aadhaar,zh_state_district,zr_elderly,zh_homeless,zh_laborer,zh_migrant_laborer,zr_third_gender,zh_secc_classification,xh_mem_weight,zh_hh_num_members,zh_caste,zh_religion,xh_enroled_in_school_flag,xh_school_admission_aadhaar_mandatory,xh_school_admission_aadhaar_of_child,xh_school_admission_aadhaar_of_father,xh_school_admission_aadhaar_of_guardian,xh_school_admission_aadhaar_of_mother,xh_school_admission_denied_due_to_aadhaar,xh_school_admission_produced_aadhaar_flag,xh_school_has_mdm_program_flag,xh_school_mdm_denied_due_to_aadhaar,xh_want_to_enrol_in_school,zh_denial_not_enroled_in_school_reason,zh_school_enrolment_date,zr_age_bucket1,zr_age_bucket2,zr_age_bucket3,zr_age_bucket4
P0104269802,Maharashtra,Aurangabad,Rural (S),Rural,8,0.1,Male,Yes,Maharashtra_Aurangabad,No,No,Yes,No,No,Automatically excluded,28153.9692645324,8,OBC,Hindu,No,,,,,,,,,,No,,,0 to 5 years old,0 to 5 years old,Children,Children
P0104269834,West Bengal,NORTH 24 PARGANAS,Urban (S),Urban,1,41,Male,Yes,West Bengal_NORTH 24 PARGANAS,No,No,Yes,No,No,General,95244.2733568813,4,General,Hindu,,,,,,,,,,,,,,41 to 55 years old,18 to 70 years old,Adults,Adults
P0104269834,West Bengal,NORTH 24 PARGANAS,Urban (S),Urban,2,32,Female,Yes,West Bengal_NORTH 24 PARGANAS,No,No,Yes,No,No,General,95244.2733568813,4,General,Hindu,,,,,,,,,,,,,,26 to 40 years old,18 to 70 years old,Adults,Adults
P0104269834,West Bengal,NORTH 24 PARGANAS,Urban (S),Urban,3,16,Male,Yes,West Bengal_NORTH 24 PARGANAS,No,No,Yes,No,No,General,65035.2411378395,4,General,Hindu,Yes,Optional,,,,,No,No,No,,,,2009-06-15,6 to 17 years old,6 to 17 years old,Children,Children
P0104269834,West Bengal,NORTH 24 PARGANAS,Urban (S),Urban,4,8,Female,Yes,West Bengal_NORTH 24 PARGANAS,No,No,Yes,No,No,General,65035.2411378395,4,General,Hindu,Yes,Optional,,,,,No,No,Yes,No,,,2017-01-15,6 to 17 years old,6 to 17 years old,Children,Children
P0104269918,Tamil Nadu,Chennai,Urban (L),Urban,1,27,Female,Yes,Tamil Nadu_Chennai,No,No,Yes,No,No,Automatically excluded,64249.7594632898,3,OBC,Christian,,,,,,,,,,,,,,26 to 40 years old,18 to 70 years old,Adults,Adults
P0104269918,Tamil Nadu,Chennai,Urban (L),Urban,2,38,Male,Yes,Tamil Nadu_Chennai,No,No,Yes,No,No,Automatically excluded,64249.7594632898,3,OBC,Christian,,,,,,,,,,,,,,26 to 40 years old,18 to 70 years old,Adults,Adults
P0104269918,Tamil Nadu,Chennai,Urban (L),Urban,3,6,Male,Yes,Tamil Nadu_Chennai,No,No,Yes,No,No,Automatically excluded,79825.0486719752,3,OBC,Christian,Yes,Mandatory,Child,,,,No,Yes,No,,,,2017-06-15,6 to 17 years old,6 to 17 years old,Children,Children
P0104269942,Tamil Nadu,Salem,Urban (S),Urban,1,39,Male,Yes,Tamil Nadu_Salem,No,No,Yes,No,No,Automatically excluded,64249.7594632898,4,General,Hindu,,,,,,,,,,,,,,26 to 40 years old,18 to 70 years old,Adults,Adults
P0104269942,Tamil Nadu,Salem,Urban (S),Urban,2,75,Male,Yes,Tamil Nadu_Salem,No,No,Yes,No,No,Automatically excluded,64249.7594632898,4,General,Hindu,,,,,,,,,,,,,,Elderly (71 and above),Elderly (71 and above),Elderly (71 and above),Adults
